code,config,period,d_qsim_l2_rel,d_qsim_max_abs,d_qsim_max_norm,n_steps
A433301001,GR4J_NSE,cal,4.975024204382618e-15,7.993605777301127e-14,4.067096266247659e-14,3653
A543101001,GR4J_NSE,cal,2.1108688620507083e-15,3.907985046680551e-14,4.282943321689084e-14,3653
A673122001,GR4J_NSE,cal,5.0742540417134706e-15,6.750155989720952e-14,7.834784967322744e-14,3653
A843101001,GR4J_NSE,cal,3.036464429783544e-15,3.108624468950438e-14,3.7068591923377014e-14,3653
A983201001,GR4J_NSE,cal,3.7447449088514e-15,4.263256414560601e-14,4.901654416026992e-14,3653
B134001001,GR4J_NSE,cal,2.9065420830825037e-15,4.085620730620576e-14,4.3753478124673365e-14,3653
B413201001,GR4J_NSE,cal,6.066109720144594e-15,3.952393967665557e-14,4.444051050994246e-14,3653
B422431001,GR4J_NSE,cal,1.5183352061780447e-14,1.5187850976872141e-13,1.2484858187591693e-13,3653
B460101001,GR4J_NSE,cal,4.782045174379206e-15,4.440892098500626e-14,4.127424028307515e-14,3653
B463101001,GR4J_NSE,cal,1.1424367821830894e-14,8.215650382226158e-14,7.427579715238468e-14,3653
B532201001,GR4J_NSE,cal,4.025870136655893e-15,7.460698725481052e-14,4.609093205858126e-14,3653
D020601001,GR4J_NSE,cal,5.979127252730369e-15,7.904787935331115e-14,7.064009032125873e-14,3653
E403571001,GR4J_NSE,cal,1.0698183242036607e-14,1.6076029396572267e-13,1.246137736596236e-13,3653
E540651001,GR4J_NSE,cal,3.3730959349666486e-14,2.2470914018413168e-13,1.7176129696835961e-13,3653
F453000101,GR4J_NSE,cal,1.5293942418887315e-13,2.2315482794965646e-13,5.448623479560255e-13,3653
H232201001,GR4J_NSE,cal,3.6334297377213986e-15,3.907985046680551e-14,5.339503462929462e-14,3653
H248201001,GR4J_NSE,cal,4.4020391657812786e-15,1.7763568394002505e-14,2.347574887797745e-14,3653
H413041010,GR4J_NSE,cal,4.0570150542857316e-14,1.3100631690576847e-13,4.4515020211892935e-13,3653
H438021010,GR4J_NSE,cal,1.1970344399386354e-13,1.8807178037150152e-13,4.881139641683604e-13,3653
H514262001,GR4J_NSE,cal,3.142021998801514e-15,3.552713678800501e-14,3.503939539616792e-14,3653
H602021010,GR4J_NSE,cal,7.627525282799215e-15,6.039613253960852e-14,7.883934551615804e-14,3653
H611061010,GR4J_NSE,cal,3.5165713687297984e-14,1.532107773982716e-13,2.1716349257369104e-13,3653
H622101001,GR4J_NSE,cal,4.0979279416233845e-15,3.197442310920451e-14,3.4104673890395337e-14,3653
H642301001,GR4J_NSE,cal,2.2508363955240447e-14,6.261657858885883e-14,1.5167384367527904e-13,3653
I200101001,GR4J_NSE,cal,5.442534395741464e-15,4.6629367034256575e-14,1.004569470106467e-13,3653
I202101001,GR4J_NSE,cal,1.207402550626503e-14,5.3512749786932545e-14,1.0768493283087961e-13,3653
I346301001,GR4J_NSE,cal,4.901701842089062e-15,6.039613253960852e-14,5.1251932510551524e-14,3653
I403201001,GR4J_NSE,cal,4.9339331639659875e-15,3.9968028886505635e-14,4.73135358417489e-14,3653
I505301001,GR4J_NSE,cal,1.7506703064548584e-15,2.842170943040401e-14,2.0345755493752683e-14,3653
I532151001,GR4J_NSE,cal,4.976423156268612e-15,3.4638958368304884e-14,4.933484398685854e-14,3653
I722202001,GR4J_NSE,cal,2.2991259158973024e-15,5.417888360170764e-14,3.4491251994586485e-14,3653
I903101001,GR4J_NSE,cal,4.179147904160877e-15,3.952393967665557e-14,3.389548441091212e-14,3653
J032301001,GR4J_NSE,cal,5.007030958210625e-15,3.863576125695545e-14,5.0055389057475447e-14,3653
J110301001,GR4J_NSE,cal,5.397609126811306e-15,3.241851231905457e-14,4.136725178110711e-14,3653
J132401001,GR4J_NSE,cal,3.686507900461976e-15,2.930988785010413e-14,3.9138584129442924e-14,3653
J151301001,GR4J_NSE,cal,8.884493811719121e-15,7.149836278586008e-14,6.269327264541733e-14,3653
J172172001,GR4J_NSE,cal,5.924213344805087e-15,5.595524044110789e-14,4.7275862320080024e-14,3653
J181301001,GR4J_NSE,cal,1.0584797400835366e-14,8.43769498715119e-14,1.1274480424705064e-13,3653
J221311001,GR4J_NSE,cal,4.95342853018222e-15,7.904787935331115e-14,4.589713651870902e-14,3653
J223301001,GR4J_NSE,cal,4.766693830713592e-15,5.3290705182007514e-14,3.3037711220419424e-14,3653
J251401001,GR4J_NSE,cal,1.0970867859406402e-14,8.304468224196171e-14,7.341690028155599e-14,3653
J261401002,GR4J_NSE,cal,5.067113802151122e-15,6.394884621840902e-14,4.049295577280755e-14,3653
J320571001,GR4J_NSE,cal,4.971546004546606e-15,9.50350909079134e-14,5.575252440090294e-14,3653
J421191001,GR4J_NSE,cal,3.175883801175588e-15,4.440892098500626e-14,2.353205334427676e-14,3653
J471201002,GR4J_NSE,cal,3.99860898735998e-15,6.394884621840902e-14,3.614689803129036e-14,3653
J570481001,GR4J_NSE,cal,4.718878847755563e-15,6.394884621840902e-14,3.8280109444762424e-14,3653
J813301001,GR4J_NSE,cal,7.391537569507891e-15,8.43769498715119e-14,7.82973388986705e-14,3653
K066331001,GR4J_NSE,cal,3.0507393207966194e-15,7.815970093361102e-14,8.660560413520621e-14,3653
K075321001,GR4J_NSE,cal,5.112699175261013e-15,9.592326932761353e-14,7.809564738931105e-14,3653
K125181001,GR4J_NSE,cal,4.138504716513023e-15,4.618527782440651e-14,6.441347706218073e-14,3653
K152401001,GR4J_NSE,cal,2.848731031758981e-15,7.460698725481052e-14,5.416585468117692e-14,3653
K175311001,GR4J_NSE,cal,2.9335203092324438e-15,3.552713678800501e-14,3.4649742715586536e-14,3653
K222302001,GR4J_NSE,cal,8.746761315766218e-15,1.4210854715202004e-13,1.0888959311584724e-13,3653
K222303001,GR4J_NSE,cal,6.573770561663587e-15,7.105427357601002e-14,6.679611409021357e-14,3653
K225401001,GR4J_NSE,cal,8.895352423977587e-15,6.394884621840902e-14,5.992171906667915e-14,3653
K337301001,GR4J_NSE,cal,3.824497385311618e-15,3.4638958368304884e-14,5.5860404051655746e-14,3653
K633252001,GR4J_NSE,cal,6.159685772044089e-15,5.240252676230739e-14,8.477418210546096e-14,3653
L091402001,GR4J_NSE,cal,3.5524110982445513e-15,5.861977570020827e-14,5.698719293156437e-14,3653
L441171001,GR4J_NSE,cal,5.597017581259192e-15,9.237055564881302e-14,1.1116721679564732e-13,3653
L465301001,GR4J_NSE,cal,3.5643056699490535e-15,4.218847493575595e-14,6.694465629313968e-14,3653
L503401001,GR4J_NSE,cal,7.176330081195038e-15,6.927791673660977e-14,6.007782705890749e-14,3653
M011491010,GR4J_NSE,cal,4.311324312638696e-15,3.2862601528904634e-14,3.6021103529900354e-14,3653
M530001010,GR4J_NSE,cal,8.190282912949463e-15,2.7755575615628914e-14,4.496946608471178e-14,3653
O038401001,GR4J_NSE,cal,5.1675393393555185e-15,1.234568003383174e-13,4.425061750455597e-14,3653
O062401001,GR4J_NSE,cal,3.035487068270696e-15,5.684341886080802e-14,7.071202685133347e-14,3653
O158461001,GR4J_NSE,cal,2.9208302890379424e-15,6.394884621840902e-14,6.869306049249578e-14,3653
O528431002,GR4J_NSE,cal,2.952419907126326e-15,4.973799150320701e-14,6.19417062490193e-14,3653
O726501001,GR4J_NSE,cal,1.0026828695390636e-14,8.171241461241152e-14,7.942827122578624e-14,3653
O794402002,GR4J_NSE,cal,3.2907281614316603e-15,6.927791673660977e-14,8.223006002659915e-14,3653
P088501001,GR4J_NSE,cal,2.748238468655733e-15,7.993605777301127e-14,3.387738398675275e-14,3653
P367401001,GR4J_NSE,cal,4.864457530630727e-15,1.3145040611561853e-13,6.57612208784497e-14,3653
P392252001,GR4J_NSE,cal,4.304773921892699e-15,9.592326932761353e-14,4.9441509220094826e-14,3653
P613402001,GR4J_NSE,cal,7.727952271158837e-15,1.2789769243681803e-13,1.0120479653814349e-13,3653
P638251001,GR4J_NSE,cal,4.422854040780259e-15,5.5067062021407764e-14,6.417210259224011e-14,3653
P821501001,GR4J_NSE,cal,8.009913672995397e-15,8.348877145181177e-14,1.259007662427561e-13,3653
Q022402001,GR4J_NSE,cal,2.2535107778272488e-14,2.255973186038318e-13,1.622798513517921e-13,3653
