code,config,d_param_max,d_param_rel_max,d_param_span_max,d_crit_calib,d_nse_cal,d_kge_cal,d_nse_val,d_kge_val,nse_cal_R,nse_val_R,kge_cal_R,kge_val_R,n_runs_R,n_runs_HS,n_iter_R,n_iter_HS
A433301001,GR4J_NSE,0.0,0.0,0.0,2.8891235626617615e-16,2.8891235626617615e-16,4.816324883043824e-15,8.601562134404276e-16,7.444349589121442e-16,0.768553508041936,0.774433532382114,0.852896200082959,0.745681682015273,256,257,24,24
A433301001,GR4J_KGE,4.85402180821691e-16,4.85402180821691e-16,1.2218547970368482e-19,1.2617880957835728e-16,1.8994095022605455e-15,1.2617880957835728e-16,1.4460459024491262e-15,6.946546298808084e-16,0.759862436349297,0.690988246272351,0.879880725087762,0.639294968675673,339,340,33,33
A433301001,GR5J_NSE,8.967937144564463e-16,8.967937144564463e-16,2.0852988536095543e-17,5.754874357636884e-16,5.754874357636884e-16,1.861102493986998e-15,4.3949875597881656e-16,1.8323700419067184e-15,0.771674900705249,0.757833561202618,0.835156709260784,0.727073461735853,1367,1367,108,108
A433301001,GR6J_NSE,1.7347234759768076e-16,1.7347234759768076e-16,6.94583974365088e-18,4.2892983300104444e-16,4.2892983300104444e-16,1.4555021986259302e-15,1.3919979668022934e-16,4.252942404587471e-16,0.776506742506614,0.797575176906018,0.839054264734599,0.783144645994457,1000,1000,25,25
A433301001,CemaNeigeGR4J_NSE,1.9146752634620307e-15,1.9146752634620307e-15,1.1729806051553743e-15,6.88836660050287e-16,6.88836660050287e-16,1.2564716662757981e-16,1.4894831962846438e-16,3.194513446251583e-16,0.805868131745563,0.745374655715814,0.883603709040153,0.695081140402075,1107,1109,36,36
A543101001,GR4J_NSE,5.628144995868263e-16,5.628144995868263e-16,1.3033117835059715e-18,3.7754459134401194e-16,3.7754459134401194e-16,4.274192214802945e-15,2.577439187848914e-16,0.0,0.882192236423968,0.861493089621043,0.883151270233541,0.865495851456848,259,260,24,24
A543101001,GR4J_KGE,3.57605507820504e-16,3.57605507820504e-16,6.516558917529857e-19,1.55475035543324e-15,1.0321911571727345e-15,1.55475035543324e-15,1.3584681497027043e-16,3.791632632871484e-16,0.860478617287254,0.817260989790688,0.928309761736972,0.878426101991079,527,527,55,55
A543101001,GR5J_NSE,1.113238776908867e-16,1.113238776908867e-16,2.5455308271601005e-21,6.284419822185126e-16,6.284419822185126e-16,3.642056092846793e-15,3.8851426203084327e-16,1.6489698296063157e-15,0.883313858747844,0.857283605617303,0.884018996230323,0.807939360460137,520,520,31,31
A543101001,GR6J_NSE,5.181552158067865e-16,5.181552158067865e-16,1.3033117835059715e-18,3.732405546066921e-16,3.732405546066921e-16,5.5710006175474905e-15,1.029111336245156e-15,0.0,0.892365267591356,0.863053771169947,0.896787481063426,0.83210389338242,1073,1073,31,31
A543101001,CemaNeigeGR4J_NSE,1.0604565391922418e-15,1.0604565391922418e-15,9.774838376294786e-17,8.603147516670404e-16,8.603147516670404e-16,3.549037916625713e-15,1.2718754743079612e-16,2.517199222617091e-16,0.903339290337294,0.872902298260951,0.90718860915244,0.882109778717376,1238,1239,44,44
