code,aridity,runoff_coef,p_mean_mm_d,e_mean_mm_d,q_mean_mm_d,snow_frac,z_median_m,gap_cal,gap_val,stratum
A433301001,0.4088611068760482,0.4177168700932147,4.275749674054759,1.748187744458931,1.7860527711482368,0.0928042689434365,592.0,0.035039693402682724,0.0,2-0-1
A543101001,0.7271127213590586,0.3547503624439521,2.5333898305084745,1.842059973924381,0.8987209605847037,0.04460457719840873,323.0,0.0021899808376676703,0.0,2-1-1
A673122001,0.5938844083223342,0.29001811194430677,3.1313298565840944,1.8596479791395046,0.9081423728813559,0.04917659353882409,331.0,0.0,0.0,2-0-1
A843101001,0.8045818194224109,0.3454734899042359,2.2929465449804436,1.8448631029986962,0.7921522450582538,0.038658603847181706,228.0,0.0,0.0,1-2-1
A983201001,0.7953335052528897,0.34013637937685115,2.3256584093872235,1.8496740547588004,0.7910410310362969,0.04576808799291392,269.0,0.017519846701341362,0.000547645125958379,1-2-1
B134001001,0.6953113319445414,0.3581284699034158,2.6160886571056063,1.8189960886571057,0.9368958279009126,0.049960977603237415,363.0,0.0,0.0,2-1-1
B413201001,0.7696386543765341,0.39480225131860536,2.3211082138200783,1.7864146023468057,0.9163787483702738,0.05018614944756191,340.0,0.0,0.0,2-1-1
B422431001,0.7248244358082772,0.4978724873053881,2.4859322033898303,1.801864406779661,1.2376772493742587,0.04374881340109404,296.0,0.021626060771968245,0.0,1-1-1
B460101001,0.7583600200422629,0.46261099492407903,2.393898305084746,1.8154367666232072,1.1074436766623208,0.04271196871664162,280.0,0.0,0.0,1-1-1
B463101001,0.7475045018410513,0.4589040771897761,2.425488917861799,1.813063885267275,1.1130667535853975,0.04251081785685489,276.0,0.0,0.0,1-1-1
B532201001,0.6452274527554599,0.5665278296622793,2.7651629726206,1.7841590612777054,1.5665417775412454,0.04161550865678397,222.0,0.0,0.0,1-1-1
D020601001,0.7463469156297771,0.4417087558316473,2.379621903520208,1.7760234680573663,1.0510998303536474,0.037901346175972656,191.0,0.0,0.0019167579408543264,1-1-1
E403571001,0.6154646915490947,0.43852310102352293,2.830521512385919,1.7420860495436765,1.2412490711252653,0.020700779821373465,138.0,0.007664932931836847,0.029025191675794086,0-0-0
E540651001,0.646751403008966,0.45353720236677375,2.736714471968709,1.7699739243807042,1.2412018252933508,0.02185621182815165,125.0,0.0,0.0,0-1-0
F453000101,1.0313873367385418,0.2061038702821295,1.9016297262059974,1.9613168187744459,0.3919332464146023,0.019268794350553634,118.0,0.0,0.0,0-2-0
H232201001,0.703989352626011,0.26883167551279924,2.674328552803129,1.8826988265971318,0.7189442257217847,0.051985754749635585,422.0,0.0,0.013691128148959474,2-1-1
H248201001,0.8080053010886946,0.33869352120042834,2.380756192959583,1.923663624511082,0.8063466981132075,0.034969332544741626,272.0,0.010402408978921434,0.0,1-2-1
H413041010,0.9816082150424087,0.1780393152326219,1.9260625814863106,1.8906388526727511,0.34291486310299873,0.02454237150457933,164.0,0.0,0.0,1-2-0
H438021010,0.9997022614283142,0.19127342094694713,1.8829465449804434,1.8823859191655803,0.3601576271186441,0.02481000124634751,154.0,0.0,0.0,0-2-0
H514262001,0.6880895526639353,0.36660731004060243,2.7463754889178618,1.8897522816166883,1.0068413303536217,0.03316301680061904,205.0,0.015329865863673693,0.0019167579408543264,1-1-0
H602021010,0.7815950365590425,0.3753930141511463,2.3073533246414604,1.8034159061277706,0.8661643192488262,0.0375874987286268,271.0,0.0,0.000547645125958379,1-2-1
H611061010,0.7784194083213968,0.30751404210709576,2.311942633637549,1.7996610169491525,0.7109548243896071,0.03791497016793928,249.0,0.0,0.0030120481927710845,1-2-1
H622101001,0.7429143343942887,0.3747379231408457,2.4946153846153845,1.8532855280312908,0.9348269882659712,0.03237554681007855,183.0,0.0,0.0,1-1-0
H642301001,0.9456943984090156,0.2036534305601591,1.9667535853976532,1.859947848761408,0.40053611473272493,0.030391117003646006,171.0,0.0,0.0,1-2-0
I200101001,0.8626851304670985,0.21466791300899532,2.140039113428944,1.8461799217731423,0.459397730237412,0.029393204622854746,150.0,0.0,0.001095290251916758,0-2-0
I202101001,0.8763785570174896,0.23204168781176118,2.1066753585397655,1.8462451108213822,0.4888365058670143,0.026192397668057088,132.0,0.0,0.0,0-2-0
I346301001,0.689701484340285,0.43982032513450114,2.6113559322033897,1.8010560625814864,1.1485274151436031,0.025768606677284558,221.0,0.0002737476047084588,0.0024644030668127055,1-1-0
I403201001,0.7429190470944353,0.3592038990213725,2.48522816166884,1.8463233376792698,0.8927036456291652,0.017602522335363583,105.0,0.0,0.004654983570646221,0-1-0
I505301001,0.6814791567570749,0.48324662925815415,2.658761408083442,1.811890482398957,1.284837488457987,0.02401099413025249,195.0,0.0,0.024370208105147863,1-1-0
I532151001,0.7573040424419041,0.288834085755774,2.442790091264667,1.8499348109517602,0.7055610427036939,0.016261995495351247,83.0,0.0,0.009857612267250822,0-1-0
I722202001,0.6384769974471783,0.5276556773970629,2.8804693611473273,1.8391134289439375,1.5198960119776779,0.015628609707964442,109.0,0.08842047632083219,0.0,0-1-0
I903101001,0.6249272653536226,0.3940967238552007,2.9576531942633637,1.8483181225554108,1.1656014341590613,0.01805961596106713,150.0,0.0,0.0,0-0-0
J032301001,0.8233205056468466,0.3027893929709253,2.2834680573663624,1.880026075619296,0.6914099069584588,0.011332119080517523,83.0,0.010676156583629894,0.0,0-2-0
J110301001,0.7683662806815516,0.29029999146994223,2.4455280312907433,1.8790612777053455,0.7099367666232074,0.013295054698995584,120.0,0.0,0.0,0-1-0
J132401001,0.7835583796664018,0.3038012421675051,2.363702737940026,1.8520990873533245,0.7180958279009126,0.014181449121878038,118.0,0.0,0.0,0-2-0
J151301001,0.6214447284943717,0.36734981417780926,2.9222816166883967,1.8160365058670143,1.0734996088657105,0.015802560018559907,213.0,0.0,0.0,1-0-0
J172172001,0.6325797648939117,0.38999604978183,2.8714602346805735,1.8164276401564536,1.1198581486310302,0.015501382576359534,187.0,0.0,0.0,1-0-0
J181301001,0.736552295192258,0.2891200124204316,2.519295958279009,1.855593220338983,0.7283788787483703,0.013198726905759977,99.0,0.0,0.0,0-1-0
J221311001,0.4927420467500781,0.4952099687025727,3.5908996088657106,1.769387222946545,1.7782492829204692,0.012042719898918749,231.0,0.0,0.0,1-0-0
J223301001,0.5923339372894622,0.5366506812884589,3.0150325945241203,1.7859061277705346,1.618019295958279,0.01607966166925402,216.0,0.0,0.0,1-0-0
J251401001,0.5911456592929225,0.3616144406201965,3.12135593220339,1.8451760104302477,1.1287273794002608,0.007238772305019047,107.0,0.0,0.0,0-0-0
J261401002,0.5369382916855278,0.4806841393258134,3.398670143415906,1.8248761408083443,1.6336868327402134,0.010067976584138287,162.0,0.02272105119080208,0.0,1-0-0
J320571001,0.6007108307045216,0.5730432807570978,3.0997392438070404,1.862046936114733,1.7762847457627118,0.0065830494216614095,75.0,0.0,0.0,0-0-0
J421191001,0.5190103147102623,0.5589850676365445,3.5632203389830512,1.849348109517601,1.991786962190352,0.005889886168628497,140.0,0.0,0.0,0-0-0
J471201002,0.5670133549170376,0.537706067222019,3.2216427640156455,1.8267144719687092,1.7322968606331277,0.011551841359773373,193.0,0.015603613468382151,0.0,1-0-0
J570481001,0.5962284355037131,0.5122022045750859,3.19,1.9019687092568447,1.633925032594524,0.005997964630343357,135.0,0.0,0.0,0-0-0
J813301001,0.7119767965701037,0.41188355765677753,2.575710560625815,1.8338461538461537,1.0608928292046937,0.016402304145132794,197.0,0.0,0.0,1-1-0
K066331001,0.7863258799569219,0.32999834694950103,2.445449804432855,1.9229204693611472,0.8069943930108228,0.08368014458910464,749.0,0.0002737476047084588,0.0,3-2-1
K075321001,0.5975761456141956,0.42275034299826214,2.8508474576271188,1.7035984354628424,1.205196740547588,0.11756599286563617,816.0,0.0,0.0,3-0-1
K125181001,0.7601276854904759,0.27747147668516126,2.483285528031291,1.8876140808344197,0.6890409024937327,0.045993395215994284,402.0,0.0,0.024917853231106242,2-1-1
K152401001,0.6848425700011619,0.4511138325634153,2.805410691003911,1.921264667535854,1.2655595687331536,0.058157825026141516,544.0,0.0684369011771147,0.0,2-1-1
K175311001,0.7104736842105265,0.40560033492822967,2.72490221642764,1.9359713168187747,1.1052212516297262,0.031476315789473686,306.0,0.0,0.0,2-1-0
K222302001,0.6255142955851717,0.49745143720900775,2.490717079530638,1.5579791395045632,1.2390107908935384,0.17718877919576215,1218.0,0.006296194908294552,0.013143483023001095,3-0-1
K222303001,0.6526379368922876,0.43054520670377755,2.417588005215124,1.5778096479791395,1.040880927429919,0.18082214756052178,1169.0,0.009581166164796057,0.0002738225629791895,3-1-1
K225401001,0.6858991073558539,0.48130854645061033,2.3500782268578875,1.611916558018253,1.1311127354141974,0.16699740916832642,1099.0,0.019709827539009035,0.0,3-1-1
K337301001,0.8883956579897486,0.23979337292319383,2.2027900912646676,1.9569491525423728,0.5282144658261446,0.0417294648247452,429.0,0.036955926635641935,0.0,2-2-1
K633252001,0.8177884983536259,0.27338512947874444,2.383650586701434,1.949322033898305,0.6516546242774567,0.02484854451773818,233.0,0.015056118258965233,0.0,1-2-0
L091402001,0.7101068816801049,0.319415740922832,2.850756192959583,2.024341590612777,0.910576401564537,0.014893644267400856,315.0,0.0,0.0,2-1-0
L441171001,0.7750601864993011,0.30114874738490977,2.480338983050847,1.9224119947848763,0.7469509778357235,0.030897698720576953,394.0,0.0,0.0,2-1-0
L465301001,0.8851430006162835,0.250801682225925,2.2847979139504564,2.022372881355932,0.5730311603650587,0.01780620163885782,202.0,0.0,0.0,1-2-0
L503401001,0.6359429938447655,0.3479539591864534,3.0628683181225553,1.9478096479791396,1.0657371577574968,0.031329760516256466,432.0,0.0,0.0,2-0-0
M011491010,0.7552159734900852,0.3605217556486592,2.470847457627119,1.8660234680573666,0.8907942633637549,0.022251284865498062,213.0,0.0,0.0,1-1-0
M530001010,0.8581258172640426,0.2708873560330503,2.283272490221643,1.9593350717079532,0.6185096479791395,0.027646165354285747,190.0,0.0,0.0,1-2-0
O038401001,0.4226191595374636,0.7027404970073017,4.160495436766623,1.7583050847457626,2.923748631029987,0.1962543323618815,1066.0,0.0,0.0,3-0-1
O062401001,0.7808031446908957,0.31870095437799334,2.6733246414602343,2.0873402868318123,0.8519911145955835,0.029346530500770567,484.0,0.0,0.004654983570646221,2-2-0
O158461001,0.7992013009941464,0.35621743130540495,2.6216036505867018,2.0951890482398956,0.9338609183128672,0.047452219796396404,505.0,0.04434711196277032,0.004381161007667032,2-2-1
O528431002,0.8229700454109902,0.338062301565901,2.5035723598435466,2.0603650586701434,0.8463634341054835,0.02840181435653876,453.0,0.007938680536545305,0.0,2-2-0
O726501001,0.6389695852726497,0.412434792115703,2.504276401564537,1.6001564537157758,1.0328507170795307,0.15698284030445966,1186.0,0.0,0.0,3-1-1
O794402002,0.7509216568572192,0.28001505250577063,2.822138200782269,2.119204693611473,0.7902411764705881,0.02151318038603332,367.0,0.0032849712565015056,0.002190580503833516,2-1-0
P088501001,0.4602535285987519,0.6269968987885929,3.7355410691003907,1.719295958279009,2.34217266562337,0.11690579234667524,814.0,0.0005474952094169176,0.0,3-0-1
P367401001,0.5392289672955746,0.49863901650656445,3.5898956975228162,1.9357757496740546,1.7900620599739243,0.027939021954275545,530.0,0.0,0.0,2-0-0
P392252001,0.5532173013445272,0.5300225498887636,3.5035071707953067,1.938200782268579,1.8569378042184965,0.030084177151597023,463.0,0.07500684369011772,0.0,2-0-0
P613402001,0.6925492925484115,0.3919194709264972,2.9597392438070407,2.0497653194263363,1.1599794385132463,0.013767245784363823,329.0,0.02272105119080208,0.0,2-1-0
P638251001,0.7322394319561457,0.28491262278797685,2.8350456323337685,2.0759322033898306,0.8077402868318123,0.013973041830690555,314.0,0.0,0.0,2-1-0
P821501001,0.7992223209595304,0.24151691599200723,2.655580182529335,2.1223989569752284,0.6413675358539765,0.009572865678529873,179.0,0.0,0.0,1-2-0
Q022402001,0.6162831167937092,0.4484780139294197,3.408878748370274,2.1008344198174704,1.5288071707953066,0.027368555922298164,411.0,0.0,0.0,2-0-0
Q055401001,0.5910742086144265,0.30947834843456207,3.5173402868318124,2.0790091264667536,1.088540662851058,0.02549577433464304,501.0,0.016151108677799068,0.02683461117196057,2-0-0
