category,case,name,kind,n_values,max_abs,max_rel,worst
Daily models,GR4J,PotEvap,series,2191,0.0,0.0,0.0
Daily models,GR4J,Precip,series,2191,0.0,0.0,0.0
Daily models,GR4J,Prod,series,2191,5.400124791776761e-13,4.954372687492241e-15,4.954372687492241e-15
Daily models,GR4J,Pn,series,2191,7.105427357601002e-15,8.326672684688683e-16,4.674623261579606e-16
Daily models,GR4J,Ps,series,2191,5.861977570020827e-14,2.9029896563506657e-13,2.708944180085382e-14
Daily models,GR4J,AE,series,2191,2.7977620220553945e-14,2.86248838878198e-13,2.7977620220553945e-14
Daily models,GR4J,Perc,series,2191,4.6851411639181606e-14,8.28332531062662e-13,4.6851411639181606e-14
Daily models,GR4J,PR,series,2191,6.927791673660977e-14,1.404077059751118e-12,5.632944870840426e-14
Daily models,GR4J,Q9,series,2191,4.0190073491430667e-14,9.249402400505123e-13,3.497202527569243e-14
Daily models,GR4J,Q1,series,2191,3.9968028886505635e-15,9.291867010646444e-13,3.9968028886505635e-15
Daily models,GR4J,Rout,series,2191,1.4921397450962104e-13,4.487568970454268e-15,4.487568970454268e-15
Daily models,GR4J,Exch,series,2191,1.27675647831893e-15,1.495012474808892e-14,1.27675647831893e-15
Daily models,GR4J,AExch1,series,2191,1.27675647831893e-15,1.495012474808892e-14,1.27675647831893e-15
Daily models,GR4J,AExch2,series,2191,1.27675647831893e-15,1.495012474808892e-14,1.27675647831893e-15
Daily models,GR4J,AExch,series,2191,2.55351295663786e-15,1.495012474808892e-14,2.55351295663786e-15
Daily models,GR4J,QR,series,2191,4.440892098500626e-14,7.273647930986546e-14,1.7194332681799874e-14
Daily models,GR4J,QD,series,2191,4.829470157119431e-15,5.3435165361204575e-14,4.829470157119431e-15
Daily models,GR4J,Qsim,series,2191,4.973799150320701e-14,5.4743058076824e-14,1.6550616982474075e-14
Daily models,GR4J,StateEnd (62 slots),state vector,62,5.684341886080802e-14,1.8201941751951575e-14,7.269467689217596e-16
Daily models,GR5J,PotEvap,series,2191,0.0,0.0,0.0
Daily models,GR5J,Precip,series,2191,0.0,0.0,0.0
Daily models,GR5J,Prod,series,2191,4.689582056016661e-13,8.475257083423239e-15,8.475257083423239e-15
Daily models,GR5J,Pn,series,2191,7.105427357601002e-15,8.326672684688683e-16,4.674623261579606e-16
Daily models,GR5J,Ps,series,2191,6.039613253960852e-14,2.768176373373393e-13,2.5590640717609858e-14
Daily models,GR5J,AE,series,2191,2.708944180085382e-14,2.7384962481388994e-13,2.6673108166619386e-14
Daily models,GR5J,Perc,series,2191,4.596323321948148e-14,2.572617295706298e-12,4.596323321948148e-14
Daily models,GR5J,PR,series,2191,6.039613253960852e-14,2.572617295706298e-12,5.3290705182007514e-14
Daily models,GR5J,Q9,series,2191,3.019806626980426e-14,1.1771382905673553e-12,3.019806626980426e-14
Daily models,GR5J,Q1,series,2191,3.3584246494910985e-15,1.1350478705896542e-12,3.3584246494910985e-15
Daily models,GR5J,Rout,series,2191,1.9184653865522705e-13,5.163758863361174e-15,5.163758863361174e-15
Daily models,GR5J,Exch,series,2191,2.1649348980190553e-15,2.9476414023248166e-14,2.1649348980190553e-15
Daily models,GR5J,AExch1,series,2191,2.1649348980190553e-15,2.9476414023248166e-14,2.1649348980190553e-15
Daily models,GR5J,AExch2,series,2191,2.1649348980190553e-15,2.9476414023248166e-14,2.1649348980190553e-15
Daily models,GR5J,AExch,series,2191,4.3298697960381105e-15,2.9476414023248166e-14,4.3298697960381105e-15
Daily models,GR5J,QR,series,2191,3.8191672047105385e-14,6.014417533459826e-14,2.1760371282653068e-14
Daily models,GR5J,QD,series,2191,4.052314039881821e-15,4.215271805410636e-14,4.052314039881821e-15
Daily models,GR5J,Qsim,series,2191,4.085620730620576e-14,4.9807657775778875e-14,2.4646951146678475e-14
Daily models,GR5J,StateEnd (42 slots),state vector,42,1.9895196601282805e-13,1.7467342253371176e-14,5.9396931817445875e-15
Daily models,GR6J,PotEvap,series,2191,0.0,0.0,0.0
Daily models,GR6J,Precip,series,2191,0.0,0.0,0.0
Daily models,GR6J,Prod,series,2191,5.968558980384842e-13,5.381885481019659e-15,5.381885481019659e-15
Daily models,GR6J,Pn,series,2191,7.105427357601002e-15,8.326672684688683e-16,4.674623261579606e-16
Daily models,GR6J,Ps,series,2191,6.394884621840902e-14,7.34731555507028e-14,2.653433028854124e-14
Daily models,GR6J,AE,series,2191,2.708944180085382e-14,6.923067584710137e-14,2.6922908347160046e-14
Daily models,GR6J,Perc,series,2191,4.5075054799781356e-14,7.820156175943126e-13,4.5075054799781356e-14
Daily models,GR6J,PR,series,2191,9.947598300641403e-14,7.820156175943126e-13,5.2013948703688584e-14
Daily models,GR6J,Q9,series,2191,6.572520305780927e-14,6.552335620880606e-13,3.425038030968608e-14
Daily models,GR6J,Q1,series,2191,4.773959005888173e-15,6.313528208600859e-13,4.773959005888173e-15
Daily models,GR6J,Rout,series,2191,8.526512829121202e-14,2.5327753393266348e-15,2.5327753393266348e-15
Daily models,GR6J,Exch,series,2191,8.326672684688674e-16,4.71373502379038e-15,8.326672684688674e-16
Daily models,GR6J,AExch1,series,2191,8.326672684688674e-16,4.71373502379038e-15,8.326672684688674e-16
Daily models,GR6J,AExch2,series,2191,8.326672684688674e-16,4.71373502379038e-15,8.326672684688674e-16
Daily models,GR6J,AExch,series,2191,2.6645352591003757e-15,4.818484690985721e-15,2.6645352591003757e-15
Daily models,GR6J,QR,series,2191,1.5987211554602254e-14,3.414709456606307e-14,1.1590860763714022e-14
Daily models,GR6J,QRExp,series,2191,6.8833827526759706e-15,2.38006619217185e-14,6.7461981878560695e-15
Daily models,GR6J,Exp,series,2191,1.9895196601282805e-13,1.7191597753329827e-15,1.7191597753329827e-15
Daily models,GR6J,QD,series,2191,5.329070518200751e-15,1.2070311600128038e-14,5.329070518200751e-15
Daily models,GR6J,Qsim,series,2191,2.4868995751603507e-14,1.677558655343271e-14,1.5765166949677223e-14
Daily models,GR6J,StateEnd (63 slots),state vector,63,8.526512829121202e-14,7.602433946867359e-13,8.326672684688674e-15
Monthly / annual models,GR2M,PotEvap,series,72,0.0,0.0,0.0
Monthly / annual models,GR2M,Precip,series,72,0.0,0.0,0.0
Monthly / annual models,GR2M,Prod,series,72,8.526512829121202e-14,4.744564611710455e-16,4.744564611710455e-16
Monthly / annual models,GR2M,Pn,series,72,9.947598300641403e-14,4.396040530894363e-15,4.396040530894363e-15
Monthly / annual models,GR2M,Ps,series,72,9.947598300641403e-14,2.949931162478383e-15,2.949931162478383e-15
Monthly / annual models,GR2M,AE,series,72,5.684341886080802e-14,9.12881175734457e-15,9.12881175734457e-15
Monthly / annual models,GR2M,Perc,series,72,3.197442310920451e-14,3.354959441028207e-14,2.842170943040401e-14
Monthly / annual models,GR2M,PR,series,72,9.947598300641403e-14,3.4416581647399665e-15,3.4416581647399665e-15
Monthly / annual models,GR2M,Rout,series,72,2.842170943040401e-14,1.0996331007718271e-15,1.0996331007718271e-15
Monthly / annual models,GR2M,AExch,series,72,1.4210854715202004e-14,2.7565790738260527e-14,1.4210854715202004e-14
Monthly / annual models,GR2M,Qsim,series,72,7.815970093361102e-14,2.2384932073733086e-15,2.2384932073733086e-15
Monthly / annual models,GR1A,PotEvap,series,6,0.0,0.0,0.0
Monthly / annual models,GR1A,Precip,series,6,0.0,0.0,0.0
Monthly / annual models,GR1A,Qsim,series,6,2.2737367544323206e-13,3.9146912870768194e-16,3.9146912870768194e-16
Hourly models,GR4H,PotEvap,series,8760,0.0,0.0,0.0
Hourly models,GR4H,Precip,series,8760,0.0,0.0,0.0
Hourly models,GR4H,Prod,series,8760,1.8957280190079473e-11,7.905495071267326e-14,7.905495071267326e-14
Hourly models,GR4H,Pn,series,8760,1.7763568394002505e-15,9.8879238130679e-15,2.220446049250313e-16
Hourly models,GR4H,Ps,series,8760,3.339550858072471e-13,8.463281442513067e-12,8.903988657493755e-14
Hourly models,GR4H,AE,series,8760,8.204201207284711e-14,8.411279111773869e-12,8.204201207284711e-14
Hourly models,GR4H,Perc,series,8760,1.4295509220829672e-13,5.59846639729315e-11,1.4295509220829672e-13
Hourly models,GR4H,PR,series,8760,3.3306690738754696e-13,5.59846639729315e-11,1.8907098109366416e-13
Hourly models,GR4H,Q9,series,8760,2.220446049250313e-13,2.3746723266438233e-11,1.151699819458183e-13
Hourly models,GR4H,Q1,series,8760,1.7819079545233762e-14,1.0286523299399543e-11,1.7819079545233762e-14
Hourly models,GR4H,Rout,series,8760,4.490630090003833e-12,1.1264390222072904e-13,1.1264390222072904e-13
Hourly models,GR4H,Exch,series,8760,5.5892790395972725e-15,3.920024279379163e-13,5.5892790395972725e-15
Hourly models,GR4H,AExch1,series,8760,5.5892790395972725e-15,3.920024279379163e-13,5.5892790395972725e-15
Hourly models,GR4H,AExch2,series,8760,5.5892790395972725e-15,1.0286523299399543e-11,5.5892790395972725e-15
Hourly models,GR4H,AExch,series,8760,1.1206313654810174e-14,2.3138702407883417e-12,1.1206313654810174e-14
Hourly models,GR4H,QR,series,8760,1.2567724638756772e-13,1.3364295492615326e-12,7.599476603559197e-14
Hourly models,GR4H,QD,series,8760,1.432187701766452e-14,3.450889525321746e-11,1.432187701766452e-14
Hourly models,GR4H,Qsim,series,8760,1.3100631690576847e-13,1.3364295492615326e-12,8.22675261247241e-14
Hourly models,GR5H,PotEvap,series,8760,0.0,0.0,0.0
Hourly models,GR5H,Precip,series,8760,0.0,0.0,0.0
Hourly models,GR5H,Interc,series,8760,0.0,0.0,0.0
Hourly models,GR5H,Prod,series,8760,1.8957280190079473e-11,7.905495071267326e-14,7.905495071267326e-14
Hourly models,GR5H,Pn,series,8760,1.7763568394002505e-15,9.8879238130679e-15,2.220446049250313e-16
Hourly models,GR5H,Ps,series,8760,3.339550858072471e-13,8.463281442513067e-12,8.903988657493755e-14
Hourly models,GR5H,AE,series,8760,8.204201207284711e-14,8.411279111773869e-12,8.204201207284711e-14
Hourly models,GR5H,EI,series,8760,0.0,0.0,0.0
Hourly models,GR5H,ES,series,8760,8.204027734937114e-14,8.411279111773869e-12,8.204027734937114e-14
Hourly models,GR5H,Perc,series,8760,1.4295509220829672e-13,5.59846639729315e-11,1.4295509220829672e-13
Hourly models,GR5H,PR,series,8760,3.3306690738754696e-13,5.59846639729315e-11,1.8907098109366416e-13
Hourly models,GR5H,Q9,series,8760,1.6009416015094757e-13,1.045980573828295e-11,1.0018952275744447e-13
Hourly models,GR5H,Q1,series,8760,1.7763568394002505e-14,1.0286523299399543e-11,1.7763568394002505e-14
Hourly models,GR5H,Rout,series,8760,1.8687273950490635e-12,3.241403905954029e-14,3.241403905954029e-14
Hourly models,GR5H,Exch,series,8760,1.0403136685432912e-14,1.5601826038953913e-11,1.0403136685432912e-14
Hourly models,GR5H,AExch1,series,8760,1.0403136685432912e-14,1.5601826038953913e-11,1.0403136685432912e-14
Hourly models,GR5H,AExch2,series,8760,1.0403136685432912e-14,1.5601826038953913e-11,1.0403136685432912e-14
Hourly models,GR5H,AExch,series,8760,2.0806273370865824e-14,1.5861048161000807e-11,2.0806273370865824e-14
Hourly models,GR5H,QR,series,8760,1.021405182655144e-13,1.785665924420168e-13,8.076872504148014e-14
Hourly models,GR5H,QD,series,8760,9.769962616701378e-15,1.558473213491331e-11,9.769962616701378e-15
Hourly models,GR5H,Qsim,series,8760,1.0613732115416497e-13,1.5394968850146082e-13,8.093525849517391e-14
Hourly models,GR5H + interception,PotEvap,series,8760,0.0,0.0,0.0
Hourly models,GR5H + interception,Precip,series,8760,0.0,0.0,0.0
Hourly models,GR5H + interception,Interc,series,8760,1.887379141862766e-15,1.647987302177983e-14,1.887379141862766e-15
Hourly models,GR5H + interception,Prod,series,8760,1.9696244635269977e-11,8.160536565823459e-14,8.160536565823459e-14
Hourly models,GR5H + interception,Pn,series,8760,1.7763568394002505e-15,1.0928757898653885e-14,7.771561172376096e-16
Hourly models,GR5H + interception,Ps,series,8760,3.4283687000424834e-13,1.0,9.123708109575216e-14
Hourly models,GR5H + interception,AE,series,8760,8.192058142952874e-14,8.412869793605547e-12,8.192058142952874e-14
Hourly models,GR5H + interception,EI,series,8760,3.0531133177191805e-16,1.647987302177983e-14,3.0531133177191805e-16
Hourly models,GR5H + interception,ES,series,8760,8.192925504690862e-14,1.0,8.192925504690862e-14
Hourly models,GR5H + interception,Perc,series,8760,1.4105383527862614e-13,6.56935803812109e-11,1.4105383527862614e-13
Hourly models,GR5H + interception,PR,series,8760,3.432809592140984e-13,6.56935803812109e-11,1.9984014443252818e-13
Hourly models,GR5H + interception,Q9,series,8760,1.8252066524837574e-13,1.4362870074285627e-11,1.148231745485873e-13
Hourly models,GR5H + interception,Q1,series,8760,2.020605904817785e-14,1.4434436327548324e-11,2.020605904817785e-14
Hourly models,GR5H + interception,Rout,series,8760,1.9966250874858815e-12,3.462779472138856e-14,3.462779472138856e-14
Hourly models,GR5H + interception,Exch,series,8760,1.1093556628871681e-14,2.4951006082503983e-10,1.1093556628871681e-14
Hourly models,GR5H + interception,AExch1,series,8760,1.1093556628871681e-14,2.4951006082503983e-10,1.1093556628871681e-14
Hourly models,GR5H + interception,AExch2,series,8760,1.1093556628871681e-14,2.4951006082503983e-10,1.1093556628871681e-14
Hourly models,GR5H + interception,AExch,series,8760,2.2287727219350018e-14,2.4950988800912617e-10,2.2287727219350018e-14
Hourly models,GR5H + interception,QR,series,8760,8.210099267103033e-14,1.8455296999594888e-13,8.210099267103033e-14
Hourly models,GR5H + interception,QD,series,8760,1.2101430968414206e-14,1.4123515008485476e-11,1.2101430968414206e-14
Hourly models,GR5H + interception,Qsim,series,8760,8.293365993949919e-14,1.8455296999594888e-13,8.293365993949919e-14
Elevation bands,band 1,precipitation,series,10593,7.105427357601002e-15,4.332276644414593e-15,5.152440515540678e-16
Elevation bands,band 1,temperature,series,10593,7.105427357601002e-15,1.46335591467647e-13,7.716446453581397e-16
Elevation bands,band 1,solid fraction,series,10593,3.3306690738754696e-16,2.071248565878152e-13,3.3306690738754696e-16
Elevation bands,band 2,precipitation,series,10593,7.105427357601002e-15,2.4626555797825123e-15,4.831419319278257e-16
Elevation bands,band 2,temperature,series,10593,5.329070518200751e-15,1.9498959071331223e-13,6.661338147750939e-16
Elevation bands,band 2,solid fraction,series,10593,2.220446049250313e-16,3.425275752335103e-13,2.220446049250313e-16
Elevation bands,band 3,precipitation,series,10593,7.105427357601002e-15,8.261051875454901e-15,5.660677944637148e-16
Elevation bands,band 3,temperature,series,10593,0.0,0.0,0.0
Elevation bands,band 3,solid fraction,series,10593,2.220446049250313e-16,7.189697298024705e-14,2.220446049250313e-16
Elevation bands,band 4,precipitation,series,10593,1.4210854715202004e-14,2.6998717132494213e-15,5.32042203034332e-16
Elevation bands,band 4,temperature,series,10593,7.105427357601002e-15,2.2350756352264708e-14,6.661338147750939e-16
Elevation bands,band 4,solid fraction,series,10593,3.3306690738754696e-16,5.963111948671102e-14,3.3306690738754696e-16
Elevation bands,band 5,precipitation,series,10593,1.4210854715202004e-14,3.2254851323568028e-15,6.161354512249764e-16
Elevation bands,band 5,temperature,series,10593,5.329070518200751e-15,4.557900897664552e-13,6.661338147750939e-16
Elevation bands,band 5,solid fraction,series,10593,3.3306690738754696e-16,1.6863125882748151e-13,3.3306690738754696e-16
Coupled snow models,CemaNeigeGR4J,PotEvap,series,2191,0.0,0.0,0.0
Coupled snow models,CemaNeigeGR4J,Precip,series,2191,0.0,0.0,0.0
Coupled snow models,CemaNeigeGR4J,Prod,series,2191,8.810729923425242e-13,8.469053526109142e-15,8.469053526109142e-15
Coupled snow models,CemaNeigeGR4J,Pn,series,2191,2.3092638912203256e-14,5.180819074216339e-13,1.6944778913341452e-14
Coupled snow models,CemaNeigeGR4J,Ps,series,2191,4.973799150320701e-14,2.318651243973086e-11,4.315992008230296e-14
Coupled snow models,CemaNeigeGR4J,AE,series,2191,5.417888360170764e-14,8.582517643286765e-13,3.9802265356565515e-14
Coupled snow models,CemaNeigeGR4J,Perc,series,2191,8.08242361927114e-14,1.750093002606655e-12,6.827871601444713e-14
Coupled snow models,CemaNeigeGR4J,PR,series,2191,1.0302869668521453e-13,3.6222302065608227e-12,6.639133687258436e-14
Coupled snow models,CemaNeigeGR4J,Q9,series,2191,7.283063041541027e-14,3.2813384668528253e-12,4.359982649489655e-14
Coupled snow models,CemaNeigeGR4J,Q1,series,2191,8.992806499463768e-15,1.599255689063857e-12,8.992806499463768e-15
Coupled snow models,CemaNeigeGR4J,Rout,series,2191,3.410605131648481e-13,6.424254479859873e-15,6.424254479859873e-15
Coupled snow models,CemaNeigeGR4J,Exch,series,2191,4.440892098500626e-15,2.2512271235913907e-14,4.440892098500626e-15
Coupled snow models,CemaNeigeGR4J,AExch1,series,2191,4.440892098500626e-15,2.2512271235913907e-14,4.440892098500626e-15
Coupled snow models,CemaNeigeGR4J,AExch2,series,2191,4.440892098500626e-15,2.2512271235913907e-14,4.440892098500626e-15
Coupled snow models,CemaNeigeGR4J,AExch,series,2191,8.881784197001252e-15,2.2512271235913907e-14,8.881784197001252e-15
Coupled snow models,CemaNeigeGR4J,QR,series,2191,5.417888360170764e-14,8.080805914056218e-14,3.334557058968704e-14
Coupled snow models,CemaNeigeGR4J,QD,series,2191,1.1546319456101628e-14,5.519781571446152e-14,8.770761894538737e-15
Coupled snow models,CemaNeigeGR4J,Qsim,series,2191,6.750155989720952e-14,6.540314358823954e-14,2.5466013819360773e-14
Coupled snow models,CemaNeigeGR4J,MeanAnSolidPrecip,scalar,1,2.3874235921539366e-12,3.589977574740494e-15,3.589977574740494e-15
"Snow module, band by band",CemaNeigeGR4J / band 1,Pliq,series,2191,3.552713678800501e-15,1.3737762129165585e-14,1.126267032578641e-15
"Snow module, band by band",CemaNeigeGR4J / band 1,Psol,series,2191,3.552713678800501e-15,4.564943592761938e-13,1.4880458989711078e-15
