"day","month","grad_Tmean","grad_Tmin","grad_Tmax"
1,1,0.434,0.366,0.498
2,1,0.434,0.366,0.5
3,1,0.435,0.367,0.501
4,1,0.436,0.367,0.503
5,1,0.437,0.367,0.504
6,1,0.439,0.367,0.506
7,1,0.44,0.367,0.508
8,1,0.441,0.368,0.51
9,1,0.442,0.368,0.512
10,1,0.444,0.368,0.514
11,1,0.445,0.368,0.517
12,1,0.446,0.368,0.519
13,1,0.448,0.369,0.522
14,1,0.45,0.369,0.525
15,1,0.451,0.369,0.527
16,1,0.453,0.37,0.53
17,1,0.455,0.37,0.533
18,1,0.456,0.37,0.537
19,1,0.458,0.371,0.54
20,1,0.46,0.371,0.543
21,1,0.462,0.371,0.547
22,1,0.464,0.372,0.55
23,1,0.466,0.372,0.554
24,1,0.468,0.373,0.558
25,1,0.47,0.373,0.561
26,1,0.472,0.374,0.565
27,1,0.474,0.374,0.569
28,1,0.476,0.375,0.573
29,1,0.478,0.375,0.577
30,1,0.48,0.376,0.582
31,1,0.483,0.376,0.586
1,2,0.485,0.377,0.59
2,2,0.487,0.377,0.594
3,2,0.489,0.378,0.599
4,2,0.492,0.379,0.603
5,2,0.494,0.379,0.607
6,2,0.496,0.38,0.612
7,2,0.498,0.381,0.616
8,2,0.501,0.381,0.621
9,2,0.503,0.382,0.625
10,2,0.505,0.383,0.63
11,2,0.508,0.384,0.634
12,2,0.51,0.384,0.639
13,2,0.512,0.385,0.643
14,2,0.515,0.386,0.648
15,2,0.517,0.387,0.652
16,2,0.519,0.387,0.657
17,2,0.522,0.388,0.661
18,2,0.524,0.389,0.666
19,2,0.526,0.39,0.67
20,2,0.528,0.391,0.674
21,2,0.53,0.392,0.679
22,2,0.533,0.393,0.683
23,2,0.535,0.393,0.687
24,2,0.537,0.394,0.691
25,2,0.539,0.395,0.695
26,2,0.541,0.396,0.699
27,2,0.543,0.397,0.703
28,2,0.545,0.398,0.707
29,2,0.546,0.399,0.709
1,3,0.547,0.399,0.711
2,3,0.549,0.4,0.715
3,3,0.551,0.401,0.718
4,3,0.553,0.402,0.722
5,3,0.555,0.403,0.726
6,3,0.557,0.404,0.729
7,3,0.559,0.405,0.732
